,id_disciplina,nome_componete_curricular,taxa_reprov,n
219,18721,REPRODUÇÃO E LARVICULTURA DE PEIXES,0.2978723404255319,188
220,18069,NOÇÕES DE ANATOMIA E FISIOLOGIA HUMANA,0.2971887550200803,498
221,27234,PRÁTICA PROFISSIONAL ORIENTADA I,0.2962962962962963,108
222,27230,MEIOS E MÉTODOS DIAGNÓSTICOS,0.2962962962962963,108
223,27092,PROCESSO DE TRABALHO EM SAÚDE,0.2956521739130435,115
224,18740,PROCESSAMENTO DE RÃS,0.29545454545454547,44
225,28121,PRIMEIROS SOCORROS,0.29545454545454547,88
226,18735,INSTALAÇÕES E UTENSÍLIOS PARA O CULTIVO DE RÃS,0.29545454545454547,44
227,27162,NOÇÕES DE ANATOMIA DENTAL E OCLUSÃO,0.2953020134228188,149
228,27231,MANEJO DE ANIMAIS DE PRODUÇÃO,0.29523809523809524,105
229,26979,BEM-ESTAR ANIMAL,0.29411764705882354,68
230,27095,POLÍTICAS DE SAÚDE II,0.29411764705882354,102
231,18670,TOPOGRAFIA,0.2935528120713306,729
232,25604,METODOLOGIA DO ENSINO DE CIÊNCIAS,0.29333333333333333,75
233,27227,PRINCÍPIOS DA FISIOLOGIA ANIMAL,0.29245283018867924,106
234,22422,BIOLOGIA DE ORGANISMOS AQUÁTICOS,0.2919254658385093,161
235,18669,SILVICULTURA,0.29171528588098017,857
236,26986,ÉTICA E CIDADANIA,0.2916666666666667,48
237,28086,ÉTICA E LEGISLAÇÃO PROFISSIONAL,0.29069767441860467,86
238,28092,OCLUSÃO,0.29069767441860467,86
239,25600,INFORMÁTICA APLICADA AO ENSINO DE CIÊNCIAS,0.29069767441860467,86
240,18733,"GESTÃO, PLANEJAMENTO, PROJETOS E EXTENSÃO EM CARCINICULTURA",0.2903225806451613,31
241,18667,OLERICULTURA,0.29022988505747127,1044
242,18666,JARDINAGEM,0.28776978417266186,695
243,28751,GEOGRAFIA - 1º ANO EJA - EPT,0.2876712328767123,73
244,28780,"GEOGRAFIA, REGIONALIDADES E TURISMO",0.2876712328767123,73
245,28766,SOCIOLOGIA - 1º ANO EJA - EPT,0.2876712328767123,73
246,28775,ATIVIDADE INTEGRADORA DAS CIÊNCIAS DA NATUREZA E MATEMTÁTICA I,0.2876712328767123,73
247,22433,RECRIA DE RÃS (ENGORDA),0.2866666666666667,150
248,28181,ANATOMIA E FISIOLOGIA HUMANA,0.2857142857142857,119
